id,category,superclass,marker,affirmative,negated
301,Restrictive/exclusive particles,Scalar / restrictive,alone,Several people completed the survey.,The manager alone completed the survey.
302,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The auditorium is slow.,"The auditorium is not slow, the auditorium is sluggish."
303,Negative imperatives,Clausal / discourse,don't,Please turn off the alarm without authorization.,Don't turn off the alarm without authorization.
304,Affixial negation,Affixial,insensitive,The athletes are sensitive.,The athletes are insensitive.
305,Conditional negation,Clausal / discourse,unless,"If you call support, the trial will expire.","Unless you call support, the trial will expire."
306,Approximate negators,Scalar / restrictive,rarely,The drivers often arrive on time.,The drivers rarely arrive on time.
307,Partial negation,Negative quantifiers,not all,All participants are experienced.,Not all participants are experienced.
308,Affixial negation,Affixial,intolerant,The applicants are tolerant.,The applicants are intolerant.
309,Conditional negation,Clausal / discourse,unless,"If you leave, the shipment will be returned.","Unless you leave, the shipment will be returned."
310,Correlative negation,Negative quantifiers,neither...nor,Both the router and the modem are charged.,Neither the router nor the modem is charged.
311,Negative imperatives,Clausal / discourse,don't,Please touch that in the gallery.,Don't touch that in the gallery.
312,Correlative negation,Negative quantifiers,neither...nor,Both the drone and the robot are available.,Neither the drone nor the robot is available.
313,Double negation / negative concord,Double negation,not unusual,The basement is usual.,The basement is not unusual.
314,Prepositional negation,Lexical negation,minus,The recipe has a cooking time.,The recipe is minus a cooking time.
315,Conditional negation,Clausal / discourse,unless,"If you update the software, the deal will be canceled.","Unless you update the software, the deal will be canceled."
316,Exceptors,Negative quantifiers,besides,Every component is accounted for.,Every component is accounted for besides the outdated model.
317,Sentential negative quantifiers,Negative quantifiers,no one,Somebody worked on weekends after the call.,No one worked on weekends after the call.
318,Do-support auxiliary,Particle,didn't,The workers understood the question.,The workers didn't understand the question.
319,Inherent negative verbs/adjectives,Lexical negation,denied,The ministry granted access.,The ministry denied access.
320,Copula,Particle,is not,The coordinator is transparent.,The coordinator is not transparent.
321,Neg-raising,Clausal / discourse,don't think,They think that the results are accurate.,They don't think the results are accurate.
322,Double negation / negative concord,Double negation,not inappropriate,The agreement is appropriate.,The agreement is not inappropriate.
323,Double negation / negative concord,Double negation,not incomplete,The battery is complete.,The battery is not incomplete.
324,Aspectual/presuppositional negation,Clausal / discourse,has ceased,The soldier still commutes by train.,The soldier has ceased commuting by train.
325,Restrictive/exclusive particles,Scalar / restrictive,just,Several people submitted a proposal.,Just the auditor submitted a proposal.
326,Partial negation,Negative quantifiers,not all,All visitors are experienced.,Not all visitors are experienced.
327,Exceptors,Negative quantifiers,but for,Every patient is present.,Every patient is present but for the deputy head.
328,Conditional negation,Clausal / discourse,unless,"If you accept the terms, the ticket will be closed.","Unless you accept the terms, the ticket will be closed."
329,Neg-raising,Clausal / discourse,don't believe,I believe that the system is secure.,I don't believe the system is secure.
330,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The venue is new.,"The venue is not new, the venue is brand-new."
331,Restrictive/exclusive particles,Scalar / restrictive,only,Several people completed the survey.,Only the planner completed the survey.
332,Exceptors,Negative quantifiers,other than,Every member is present.,Every member is present other than the incoming trainee.
333,Neg-raising,Clausal / discourse,don't expect,They expect that the funding will continue.,They don't expect the funding will continue.
334,Inherent negative verbs/adjectives,Lexical negation,dropped,The referee finished the project.,The referee dropped the project.
335,Modals,Particle,should not,The antenna should restart automatically.,The antenna should not restart automatically.
336,Sentential negative quantifiers,Negative quantifiers,nobody,Somebody enjoyed the concert at the conference.,Nobody enjoyed the concert at the conference.
337,Negative imperatives,Clausal / discourse,never,Always ignore the warning in this area.,Never ignore the warning in this area.
338,Correlative negation,Negative quantifiers,neither...nor,Both the report and the summary are archived.,Neither the report nor the summary is archived.
339,Partial negation,Negative quantifiers,not every,Every technician is trained.,Not every technician is trained.
340,Neg-raising,Clausal / discourse,doesn't believe,She believes that the plan will work.,She doesn't believe the plan will work.
341,Copula,Particle,is not,The presentation is flexible.,The presentation is not flexible.
342,Double negation / negative concord,Double negation,not inconsistent,The argument is consistent.,The argument is not inconsistent.
343,Neg-raising,Clausal / discourse,doesn't suppose,She supposes that the design is finished.,She doesn't suppose the design is finished.
344,Sentential negative quantifiers,Negative quantifiers,none,Some of the devices were labeled correctly.,None of the devices were labeled correctly.
345,Prepositional negation,Lexical negation,lacking,The celebration has a schedule.,The celebration is lacking a schedule.
346,Modals,Particle,won't,The patients will eat vegetables.,The patients won't eat vegetables.
347,Negative imperatives,Clausal / discourse,don't,Please smoke here at the venue.,Don't smoke here at the venue.
348,Double negation / negative concord,Double negation,not unusual,The studio is usual.,The studio is not unusual.
349,Exceptors,Negative quantifiers,except,Every engineer is present.,Every engineer is present except the reserve player.
350,Inherent negative verbs/adjectives,Lexical negation,ignored,The hospital acknowledged the error.,The hospital ignored the error.
351,Sentential negative quantifiers,Negative quantifiers,no,A cat is in the building.,No cat is in the building.
352,Do-support auxiliary,Particle,didn't,The soldier recalled the details.,The soldier didn't recall the details.
353,Negative imperatives,Clausal / discourse,no + gerund,Turning off the alarm without authorization is allowed.,No turning off the alarm without authorization.
354,Do-support auxiliary,Particle,didn't,The sensor crashed during the test.,The sensor didn't crash during the test.
355,Inherent negative verbs/adjectives,Lexical negation,dismissed,The cooperative recognized the contribution.,The cooperative dismissed the contribution.
356,Do-support auxiliary,Particle,didn't,The supervisor remembered the address.,The supervisor didn't remember the address.
357,Sentential negative quantifiers,Negative quantifiers,nobody,Somebody ate vegetables at the office.,Nobody ate vegetables at the office.
